"Date","Price","Open","High","Low","Change %"
"Feb 05","1.0897","1.0900","1.1065","1.0787","-0.25%"
"Jan 05","1.0924","1.0869","1.0962","1.0699","0.28%"
"Dec 04","1.0893","1.0824","1.0921","1.0547","0.85%"
"Nov 04","1.0801","1.0897","1.1146","1.0759","-1.27%"
"Oct 04","1.0940","1.0725","1.0960","1.0564","1.97%"
"Sep 04","1.0729","1.0735","1.0782","1.0518","-0.22%"
"Aug 04","1.0753","1.1029","1.1064","1.0695","-2.62%"
"Jul 04","1.1042","1.0965","1.1214","1.0927","0.56%"
"Jun 04","1.0981","1.1293","1.1322","1.0863","-2.94%"
"May 04","1.1314","1.1495","1.1577","1.1257","-1.51%"
"Apr 04","1.1487","1.1459","1.1775","1.1401","0.14%"
"Mar 04","1.1471","1.1243","1.1566","1.1128","1.83%"
"Feb 04","1.1265","1.1335","1.1386","1.1060","-0.57%"
"Jan 04","1.1330","1.1492","1.1695","1.1318","-1.33%"
"Dec 03","1.1483","1.1294","1.1499","1.1252","1.40%"
"Nov 03","1.1325","1.1529","1.1593","1.1208","-1.90%"
"Oct 03","1.1544","1.1417","1.1672","1.1371","0.96%"
"Sep 03","1.1434","1.1194","1.1504","1.1144","2.14%"
"Aug 03","1.1194","1.1145","1.1296","1.1059","0.27%"
"Jul 03","1.1164","1.1453","1.1481","1.1080","-2.65%"
"Jun 03","1.1468","1.1291","1.1590","1.1255","1.19%"
"May 03","1.1333","1.1133","1.1352","1.1122","1.65%"
"Apr 03","1.1149","1.0882","1.1210","1.0848","2.40%"
"Mar 03","1.0888","1.0868","1.1010","1.0693","0.09%"
"Feb 03","1.0878","1.0798","1.0925","1.0668","0.92%"
"Jan 03","1.0779","1.0703","1.0894","1.0653","0.69%"
"Dec 02","1.0705","1.1204","1.1282","1.0667","-4.90%"
"Nov 02","1.1256","1.1383","1.1451","1.1132","-1.34%"
"Oct 02","1.1409","1.1548","1.1591","1.1320","-1.33%"
"Sep 02","1.1563","1.1728","1.1772","1.1499","-1.51%"
"Aug 02","1.1740","1.1639","1.1833","1.1500","0.70%"
"Jul 02","1.1658","1.1549","1.1673","1.1328","0.76%"
"Jun 02","1.1570","1.1802","1.1820","1.1443","-1.98%"
"May 02","1.1804","1.1996","1.2089","1.1702","-1.89%"
"Apr 02","1.2032","1.2078","1.2201","1.1968","-0.58%"
"Mar 02","1.2102","1.2265","1.2296","1.1962","-1.43%"
"Feb 02","1.2277","1.2180","1.2363","1.2101","0.72%"
"Jan 02","1.2189","1.2219","1.2331","1.2017","-0.55%"
"Dec 01","1.2256","1.2498","1.2555","1.2124","-2.09%"
"Nov 01","1.2517","1.2228","1.2668","1.2169","2.25%"
"Oct 01","1.2241","1.2081","1.2288","1.1975","1.27%"
"Sep 01","1.2087","1.2008","1.2372","1.1846","0.37%"
"Aug 01","1.2043","1.2310","1.2499","1.1956","-2.27%"
"Jul 01","1.2323","1.2557","1.2803","1.2200","-2.09%"
"Jun 01","1.2586","1.2363","1.2786","1.2257","1.80%"
