Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Jun-07,0,77.1,-
Paraparaumu Aero,Jun-07,2,9.6,-
Paraparaumu Aero,Jun-07,9,124.1,-
Paraparaumu Aero,Jul-07,0,93.5,-
Paraparaumu Aero,Jul-07,2,9.8,-
Paraparaumu Aero,Jul-07,9,112,-
Paraparaumu Aero,Aug-07,0,79.2,-
Paraparaumu Aero,Aug-07,2,10.2,-
Paraparaumu Aero,Aug-07,9,157.9,-
Paraparaumu Aero,Sep-07,0,43.9,-
Paraparaumu Aero,Sep-07,2,11.6,-
Paraparaumu Aero,Sep-07,9,178.4,-
Paraparaumu Aero,Oct-07,0,153.4,-
Paraparaumu Aero,Oct-07,2,12.4,-
Paraparaumu Aero,Oct-07,9,202.3,-
Paraparaumu Aero,Nov-07,0,40.8,-
Paraparaumu Aero,Nov-07,2,13.7,-
Paraparaumu Aero,Nov-07,9,253.3,-
Paraparaumu Aero,Dec-07,0,41.7,-
Paraparaumu Aero,Dec-07,2,16.7,-
Paraparaumu Aero,Dec-07,9,207.2,-
Paraparaumu Aero,Jan-08,0,72.8,-
Paraparaumu Aero,Jan-08,2,18.4,-
Paraparaumu Aero,Jan-08,9,262.4,-
Paraparaumu Aero,Feb-08,0,17.1,-
Paraparaumu Aero,Feb-08,2,18.3,-
Paraparaumu Aero,Feb-08,9,236,-
Paraparaumu Aero,Mar-08,0,117.2,-
Paraparaumu Aero,Mar-08,2,17,-
Paraparaumu Aero,Mar-08,9,189.5,-
Paraparaumu Aero,Apr-08,0,160.4,-
Paraparaumu Aero,Apr-08,2,14.5,-
Paraparaumu Aero,Apr-08,9,164.6,-
Paraparaumu Aero,May-08,0,11.7,-
Paraparaumu Aero,May-08,2,10.3,-
Paraparaumu Aero,May-08,9,168.2,-
Paraparaumu Aero,Jun-08,0,115,-
Paraparaumu Aero,Jun-08,2,10.3,-
Paraparaumu Aero,Jun-08,9,104.1,-
Paraparaumu Aero,Jul-08,0,209.8,-
Paraparaumu Aero,Jul-08,2,9.6,-
Paraparaumu Aero,Jul-08,9,95.3,-
Paraparaumu Aero,Aug-08,0,158.8,-
Paraparaumu Aero,Aug-08,2,9.8,-
Paraparaumu Aero,Aug-08,9,162.3,-
Paraparaumu Aero,Sep-08,0,43.9,-
Paraparaumu Aero,Sep-08,2,11.8,-
Paraparaumu Aero,Sep-08,9,134.1,-
Paraparaumu Aero,Oct-08,0,113.8,-
Paraparaumu Aero,Oct-08,2,12.5,-
Paraparaumu Aero,Oct-08,9,196.1,-
Paraparaumu Aero,Nov-08,0,44.4,-
Paraparaumu Aero,Nov-08,2,14.6,-
Paraparaumu Aero,Nov-08,9,235.8,-
Paraparaumu Aero,Dec-08,0,136.8,-
Paraparaumu Aero,Dec-08,2,16.8,-
Paraparaumu Aero,Dec-08,9,213.4,-
Paraparaumu Aero,Jan-09,0,33.7,-
Paraparaumu Aero,Jan-09,2,17.9,-
Paraparaumu Aero,Jan-09,9,244.4,-
Paraparaumu Aero,Feb-09,0,122.8,-
Paraparaumu Aero,Feb-09,2,17.3,-
Paraparaumu Aero,Feb-09,9,179.7,-
Paraparaumu Aero,Mar-09,0,25.6,-
Paraparaumu Aero,Mar-09,2,15.5,-
Paraparaumu Aero,Mar-09,9,213.2,-
Paraparaumu Aero,Apr-09,0,57.6,-
