Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1959,07,94.0,Y
IDCJAC0001,042027,1959,08,0.0,Y
IDCJAC0001,042027,1959,09,10.4,Y
IDCJAC0001,042027,1959,10,62.9,Y
IDCJAC0001,042027,1959,11,69.3,Y
IDCJAC0001,042027,1959,12,100.5,Y
IDCJAC0001,042027,1960,01,66.0,Y
IDCJAC0001,042027,1960,02,42.0,Y
IDCJAC0001,042027,1960,03,55.9,Y
IDCJAC0001,042027,1960,04,12.4,Y
IDCJAC0001,042027,1960,05,23.4,Y
IDCJAC0001,042027,1960,06,16.3,Y
IDCJAC0001,042027,1960,07,34.4,Y
IDCJAC0001,042027,1960,08,33.0,Y
IDCJAC0001,042027,1960,09,26.2,Y
IDCJAC0001,042027,1960,10,30.1,Y
IDCJAC0001,042027,1960,11,36.1,Y
IDCJAC0001,042027,1960,12,64.8,Y
IDCJAC0001,042027,1961,01,27.7,Y
IDCJAC0001,042027,1961,02,75.0,Y
