"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1983M11","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1983M12","Rosslare","Number","6.5"
"Most Sunshine Hours in a Day","1984M01","Rosslare","Number","5.9"
"Most Sunshine Hours in a Day","1984M02","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1984M03","Rosslare","Number","11"
"Most Sunshine Hours in a Day","1984M04","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1984M05","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1984M06","Rosslare","Number","14.9"
"Most Sunshine Hours in a Day","1984M07","Rosslare","Number","14.3"
"Most Sunshine Hours in a Day","1984M08","Rosslare","Number","12.4"
"Most Sunshine Hours in a Day","1984M09","Rosslare","Number","10.9"
"Most Sunshine Hours in a Day","1984M10","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1984M11","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1984M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1985M01","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1985M02","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1985M03","Rosslare","Number","10.1"
"Most Sunshine Hours in a Day","1985M04","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1985M05","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1985M06","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1985M07","Rosslare","Number","13.8"
"Most Sunshine Hours in a Day","1985M08","Rosslare","Number","12.3"
"Most Sunshine Hours in a Day","1985M09","Rosslare","Number","11.5"
"Most Sunshine Hours in a Day","1985M10","Rosslare","Number","8.1"
"Most Sunshine Hours in a Day","1985M11","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1985M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1986M01","Rosslare","Number","8.1"
"Most Sunshine Hours in a Day","1986M02","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1986M03","Rosslare","Number","9.4"
"Most Sunshine Hours in a Day","1986M04","Rosslare","Number","13"
"Most Sunshine Hours in a Day","1986M05","Rosslare","Number","14.1"
"Most Sunshine Hours in a Day","1986M06","Rosslare","Number","15.6"
"Most Sunshine Hours in a Day","1986M07","Rosslare","Number","13.5"
"Most Sunshine Hours in a Day","1986M08","Rosslare","Number","12.4"
"Most Sunshine Hours in a Day","1986M09","Rosslare","Number","11.2"
"Most Sunshine Hours in a Day","1986M10","Rosslare","Number","9.8"
"Most Sunshine Hours in a Day","1986M11","Rosslare","Number","7.6"
"Most Sunshine Hours in a Day","1986M12","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1987M01","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1987M02","Rosslare","Number","9.1"
"Most Sunshine Hours in a Day","1987M03","Rosslare","Number","10.4"
"Most Sunshine Hours in a Day","1987M04","Rosslare","Number","13"
"Most Sunshine Hours in a Day","1987M05","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1987M06","Rosslare","Number","14.7"
"Most Sunshine Hours in a Day","1987M07","Rosslare","Number","13.5"
"Most Sunshine Hours in a Day","1987M08","Rosslare","Number","12"
"Most Sunshine Hours in a Day","1987M09","Rosslare","Number","11.3"
"Most Sunshine Hours in a Day","1987M10","Rosslare","Number","9.1"
"Most Sunshine Hours in a Day","1987M11","Rosslare","Number","6.4"
"Most Sunshine Hours in a Day","1987M12","Rosslare","Number","5.1"
"Most Sunshine Hours in a Day","1988M01","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1988M02","Rosslare","Number","8.6"
"Most Sunshine Hours in a Day","1988M03","Rosslare","Number","9.9"
"Most Sunshine Hours in a Day","1988M04","Rosslare","Number","11"
"Most Sunshine Hours in a Day","1988M05","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1988M06","Rosslare","Number","15.6"
"Most Sunshine Hours in a Day","1988M07","Rosslare","Number","13.1"
"Most Sunshine Hours in a Day","1988M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1988M09","Rosslare","Number","10.2"
"Most Sunshine Hours in a Day","1988M10","Rosslare","Number","9.6"
"Most Sunshine Hours in a Day","1988M11","Rosslare","Number","7.8"
"Most Sunshine Hours in a Day","1988M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1989M01","Rosslare","Number","7.5"
"Most Sunshine Hours in a Day","1989M02","Rosslare","Number","8.8"
"Most Sunshine Hours in a Day","1989M03","Rosslare","Number","8.8"
"Most Sunshine Hours in a Day","1989M04","Rosslare","Number","12.3"
"Most Sunshine Hours in a Day","1989M05","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1989M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1989M07","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1989M08","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1989M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1989M10","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1989M11","Rosslare","Number","8.1"
"Most Sunshine Hours in a Day","1989M12","Rosslare","Number","6.5"
"Most Sunshine Hours in a Day","1990M01","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1990M02","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1990M03","Rosslare","Number","10.2"
